content_id,title_name,content_type,genre,original_language,release_year,production_budget_m_usd,imdb_rating,episodes_count,is_netflix_original,content_tier
1,Squid Game,TV Series,Sci-Fi & Fantasy,Korean,2021,21.4,8.0,9,1,Core Catalog
2,Stranger Things (Season 4),TV Series,Sci-Fi & Fantasy,English,2022,270.0,8.7,9,1,Blockbuster Tentpole
3,Wednesday,TV Series,Comedy,English,2022,35.0,8.1,8,1,Mid-Tier Hit
4,Red Notice,Movie,Action & Adventure,English,2021,200.0,6.3,1,1,Blockbuster Tentpole
5,Glass Onion: A Knives Out Mystery,Movie,Thriller & Mystery,English,2022,40.0,7.1,1,1,Mid-Tier Hit
6,The Crown (Season 5-6),TV Series,Drama,English,2022,130.0,8.6,20,1,Blockbuster Tentpole
7,Bridgerton (Season 2-3),TV Series,Romance,English,2022,140.0,7.4,16,1,Blockbuster Tentpole
8,Money Heist: Korea,TV Series,Crime & Docuseries,Korean,2022,45.0,6.8,12,1,Mid-Tier Hit
9,Lupin (Part 3),TV Series,Thriller & Mystery,French,2023,30.0,7.5,7,1,Mid-Tier Hit
10,One Piece (Live Action),TV Series,Action & Adventure,English,2023,138.0,8.3,8,1,Blockbuster Tentpole
11,Baby Reindeer,TV Series,Drama,English,2024,15.0,7.8,7,1,Core Catalog
12,The Night Agent,TV Series,Thriller & Mystery,English,2023,25.0,7.5,10,1,Core Catalog
13,Extraction 2,Movie,Action & Adventure,English,2023,70.0,7.0,1,1,Mid-Tier Hit
14,Leave the World Behind,Movie,Thriller & Mystery,English,2023,40.0,6.5,1,1,Mid-Tier Hit
15,Fool Me Once,TV Series,Thriller & Mystery,English,2024,20.0,6.8,8,1,Core Catalog
16,Society of the Snow,Movie,Drama,Spanish,2023,65.0,7.8,1,1,Mid-Tier Hit
17,Avatar: The Last Airbender,TV Series,Action & Adventure,English,2024,120.0,7.2,8,1,Blockbuster Tentpole
18,3 Body Problem,TV Series,Sci-Fi & Fantasy,English,2024,160.0,7.6,8,1,Blockbuster Tentpole
19,Formula 1: Drive to Survive,Docuseries,Crime & Docuseries,English,2021,28.0,8.5,30,1,Mid-Tier Hit
20,Beef,TV Series,Comedy,English,2023,35.0,8.0,10,1,Mid-Tier Hit
21,Culinary Class Wars,Reality TV & Lifestyle,Reality TV & Lifestyle,Korean,2024,18.0,8.4,12,1,Core Catalog
22,Jake Paul vs. Mike Tyson (Live),Live Event,Action & Adventure,English,2024,50.0,6.2,1,1,Mid-Tier Hit
23,Beverly Hills Cop: Axel F,Movie,Comedy,English,2024,150.0,6.5,1,1,Blockbuster Tentpole
24,Squid Game (Season 2),TV Series,Sci-Fi & Fantasy,Korean,2024,100.0,8.2,7,1,Blockbuster Tentpole
25,The Diplomat (Season 2),TV Series,Drama,English,2024,45.0,8.0,6,1,Mid-Tier Hit
26,Neon Chronicles,TV Series,Animation & Anime,Spanish,2022,10.3,6.6,13,1,Core Catalog
27,Wild Echoes,TV Series,Reality TV & Lifestyle,Spanish,2023,18.4,7.1,8,1,Core Catalog
28,Crimson Island: Chapter 3,Movie,Action & Adventure,Korean,2022,10.2,6.8,1,1,Core Catalog
29,Golden Detective,Movie,Romance,Korean,2024,11.5,8.5,1,0,Core Catalog
30,Eternal Empire,TV Series,Comedy,English,2025,30.8,9.4,13,1,Mid-Tier Hit
31,Shattered Syndicate,Stand-up Comedy,Action & Adventure,English,2022,15.9,6.9,1,0,Core Catalog
32,Wild Horizon: Chapter 2,TV Series,Animation & Anime,English,2024,8.4,6.8,15,1,Core Catalog
33,Infinite Legacy,Docuseries,Animation & Anime,English,2021,7.2,7.0,8,0,Core Catalog
34,Quantum Code,Movie,Drama,Japanese,2022,14.6,6.2,1,1,Core Catalog
35,Hidden Kingdom,TV Series,Romance,Spanish,2023,60.2,7.8,16,1,Mid-Tier Hit
36,Midnight Game,Animation,Reality TV & Lifestyle,French,2024,8.9,6.8,16,1,Core Catalog
37,Last Project: Chapter 4,TV Series,Drama,English,2024,5.3,6.7,16,0,Core Catalog
38,Electric Frontier,TV Series,Animation & Anime,Portuguese,2022,31.6,6.2,9,1,Mid-Tier Hit
39,Wild Empire,Movie,Action & Adventure,English,2021,24.1,6.9,1,0,Core Catalog
40,Midnight Heist,TV Series,Sci-Fi & Fantasy,Spanish,2023,8.7,8.3,6,1,Core Catalog
41,Royal Mirror,Movie,Crime & Docuseries,English,2024,30.9,7.5,1,1,Mid-Tier Hit
42,Neon Frontier: Chapter 2,TV Series,Comedy,English,2023,8.8,6.8,12,1,Core Catalog
43,Royal Frontier,Animation,Reality TV & Lifestyle,English,2024,36.6,7.2,17,0,Mid-Tier Hit
44,Golden Frontier: Chapter 2,TV Series,Horror,English,2024,32.6,8.7,16,1,Mid-Tier Hit
45,Quantum Island,TV Series,Horror,Korean,2021,5.7,7.1,14,1,Core Catalog
46,Dark Signal,TV Series,Animation & Anime,French,2024,25.3,5.8,12,1,Mid-Tier Hit
47,Silent Mirror,Stand-up Comedy,Thriller & Mystery,Hindi,2024,27.1,6.3,1,1,Mid-Tier Hit
48,Eternal Detective: Chapter 4,TV Series,Thriller & Mystery,Japanese,2021,14.9,7.8,10,1,Core Catalog
49,Dark Legacy,Stand-up Comedy,Thriller & Mystery,Arabic,2021,18.9,7.4,1,1,Core Catalog
50,Silent Echoes: Chapter 2,Movie,Animation & Anime,English,2024,23.0,6.4,1,1,Core Catalog
51,Shattered Code,Movie,Reality TV & Lifestyle,French,2024,47.7,8.0,1,1,Mid-Tier Hit
52,Silent Voyage,Docuseries,Thriller & Mystery,English,2023,11.8,7.2,11,1,Core Catalog
53,Infinite Mirror: Chapter 2,TV Series,Crime & Docuseries,English,2023,17.1,6.5,11,1,Core Catalog
54,Shadow Echoes,Movie,Romance,English,2021,11.5,5.6,1,1,Core Catalog
55,Electric Game,TV Series,Action & Adventure,English,2021,4.8,6.8,6,0,Core Catalog
56,Royal Code: Chapter 2,TV Series,Horror,Korean,2022,17.6,6.6,12,1,Core Catalog
57,Infinite City,TV Series,Crime & Docuseries,English,2021,28.8,7.6,9,1,Mid-Tier Hit
58,Infinite Heist,TV Series,Action & Adventure,English,2024,16.5,7.8,15,1,Core Catalog
59,Silent Dynasty: Chapter 4,Movie,Comedy,Korean,2025,29.9,8.7,1,1,Mid-Tier Hit
60,Dark Mirror: Chapter 4,TV Series,Thriller & Mystery,French,2024,20.6,6.5,17,0,Core Catalog
61,Silent Voyage,TV Series,Animation & Anime,English,2024,25.1,6.9,10,0,Mid-Tier Hit
62,Dangerous Kingdom: Chapter 4,TV Series,Horror,French,2022,45.7,6.6,9,1,Mid-Tier Hit
63,Golden Syndicate,TV Series,Action & Adventure,English,2024,10.8,8.0,9,1,Core Catalog
64,Neon Game,Animation,Drama,English,2025,75.9,8.1,9,1,Mid-Tier Hit
65,Hidden Signal: Chapter 2,TV Series,Thriller & Mystery,Korean,2023,17.5,6.5,15,1,Core Catalog
66,Forbidden Game: Chapter 3,TV Series,Romance,Spanish,2024,20.0,6.6,11,1,Core Catalog
67,Infinite Protocol: Chapter 2,TV Series,Sci-Fi & Fantasy,Hindi,2021,20.7,6.9,9,1,Core Catalog
68,Eternal Code,Movie,Comedy,English,2021,16.2,6.2,1,1,Core Catalog
69,Electric Code: Chapter 2,TV Series,Reality TV & Lifestyle,Japanese,2024,5.2,6.3,14,0,Core Catalog
70,Shattered Project,Docuseries,Crime & Docuseries,English,2024,32.3,6.1,11,1,Mid-Tier Hit
71,Dark Legacy: Chapter 2,TV Series,Horror,English,2022,94.8,6.4,15,1,Blockbuster Tentpole
72,Shadow Kingdom: Chapter 4,TV Series,Comedy,Spanish,2023,9.8,5.7,6,1,Core Catalog
73,Infinite City: Chapter 3,Movie,Thriller & Mystery,French,2025,15.5,6.8,1,1,Core Catalog
74,Wild Project,Docuseries,Drama,English,2024,21.6,8.8,6,0,Core Catalog
75,Infinite Echoes: Chapter 2,Movie,Thriller & Mystery,Spanish,2024,9.7,6.4,1,0,Core Catalog
76,Silent Horizon,TV Series,Comedy,English,2024,18.0,8.5,11,1,Core Catalog
77,Wild Signal,Docuseries,Crime & Docuseries,Portuguese,2021,54.1,7.9,10,1,Mid-Tier Hit
78,Shadow Empire: Chapter 4,TV Series,Crime & Docuseries,Korean,2025,19.3,5.1,7,1,Core Catalog
79,Hidden Echoes: Chapter 3,Docuseries,Romance,Spanish,2024,22.4,7.1,9,1,Core Catalog
80,Royal Chronicles,Movie,Thriller & Mystery,Spanish,2023,10.9,6.1,1,1,Core Catalog
81,Neon Voyage: Chapter 3,Animation,Thriller & Mystery,Spanish,2025,5.2,6.9,11,0,Core Catalog
82,Forbidden City,TV Series,Reality TV & Lifestyle,Korean,2021,32.5,6.5,6,0,Mid-Tier Hit
83,Quantum Detective,Movie,Comedy,English,2023,26.1,7.4,1,1,Mid-Tier Hit
84,Forbidden Kingdom,Movie,Sci-Fi & Fantasy,English,2023,4.7,7.3,1,1,Core Catalog
85,Shattered Island,TV Series,Horror,Korean,2024,87.1,8.4,7,1,Blockbuster Tentpole
86,Silent Project,Movie,Reality TV & Lifestyle,English,2023,13.9,5.0,1,1,Core Catalog
87,Neon Horizon: Chapter 4,Docuseries,Animation & Anime,Hindi,2021,10.4,7.8,9,1,Core Catalog
88,Secret Horizon,TV Series,Thriller & Mystery,French,2024,10.5,6.2,10,1,Core Catalog
89,Dark Detective,TV Series,Drama,Japanese,2023,14.0,7.5,16,1,Core Catalog
90,Dangerous Game,Movie,Crime & Docuseries,English,2021,111.3,6.6,1,1,Blockbuster Tentpole
91,Shadow Detective: Chapter 4,Docuseries,Drama,Hindi,2024,28.1,6.9,17,1,Mid-Tier Hit
92,Golden Kingdom: Chapter 4,Movie,Animation & Anime,French,2024,13.2,7.6,1,1,Core Catalog
