subscriber_id,signup_date_key,signup_date,country_id,region_id,current_plan_id,primary_device_id,acquisition_channel,subscriber_status,churn_date_key,tenure_months,extra_members_count,estimated_ltv_usd
100001,20220401,2022-04-01,5,2,5,3,Organic Word of Mouth,Churned,20240213.0,22,0,505.78
100002,20231105,2023-11-05,7,2,4,1,Social Media Campaign,Churned,20250612.0,19,0,294.31
100003,20230220,2023-02-20,1,1,3,3,Organic Word of Mouth,Active,,34,0,237.66
100004,20200330,2020-03-30,1,1,1,2,ISP / Telco Bundle,Active,,69,0,344.31
100005,20241009,2024-10-09,13,3,3,4,ISP / Telco Bundle,Active,,14,0,97.86
100006,20210619,2021-06-19,18,4,1,1,Search & SEO,Churned,20240718.0,37,0,184.63
100007,20210325,2021-03-25,2,1,1,1,Smart TV Pre-install,Churned,20251229.0,57,0,284.43
100008,20240411,2024-04-11,19,4,2,5,Search & SEO,Active,,20,0,199.8
100009,20200814,2020-08-14,13,3,4,1,Search & SEO,Active,,64,0,991.36
100010,20200616,2020-06-16,1,1,2,2,Organic Word of Mouth,Churned,20211118.0,17,0,169.83
100011,20201015,2020-10-15,7,2,5,1,Search & SEO,Churned,20250228.0,52,0,1195.48
100012,20210704,2021-07-04,3,2,5,1,Social Media Campaign,Active,,53,0,1218.47
100013,20221023,2022-10-23,1,1,1,1,Social Media Campaign,Churned,20241008.0,24,0,119.76
100014,20210516,2021-05-16,15,3,5,1,Social Media Campaign,Churned,20210801.0,3,0,68.97
100015,20240929,2024-09-29,21,4,3,1,Organic Word of Mouth,Active,,15,0,104.85
100016,20200507,2020-05-07,1,1,1,3,Smart TV Pre-install,Active,,67,0,334.33
100017,20220902,2022-09-02,1,1,5,1,Smart TV Pre-install,Active,,39,0,896.61
100018,20250312,2025-03-12,9,2,3,1,ISP / Telco Bundle,Active,,9,0,62.91
100019,20230118,2023-01-18,14,3,1,5,Organic Word of Mouth,Active,,35,0,174.65
100020,20200409,2020-04-09,1,1,1,1,Social Media Campaign,Churned,20220727.0,27,0,134.73
100021,20210716,2021-07-16,13,3,2,4,Organic Word of Mouth,Active,,53,0,529.47
100022,20221218,2022-12-18,5,2,4,1,ISP / Telco Bundle,Churned,20230801.0,8,0,123.92
100023,20241220,2024-12-20,1,1,3,1,Social Media Campaign,Active,,12,0,83.88
100024,20250814,2025-08-14,1,1,3,1,Organic Word of Mouth,Active,,4,0,27.96
100025,20250406,2025-04-06,1,1,3,1,Smart TV Pre-install,Active,,8,0,55.92
100026,20210518,2021-05-18,24,4,5,1,Organic Word of Mouth,Churned,20231204.0,31,0,712.69
100027,20250910,2025-09-10,5,2,3,1,Search & SEO,Active,,3,0,20.97
100028,20231120,2023-11-20,8,2,5,3,Search & SEO,Active,,25,0,574.75
100029,20221001,2022-10-01,14,3,4,2,Organic Word of Mouth,Active,,38,0,588.62
100030,20210511,2021-05-11,6,2,2,1,Search & SEO,Active,,55,0,549.45
100031,20201205,2020-12-05,20,4,4,4,Organic Word of Mouth,Churned,20210401.0,4,0,61.96
100032,20220312,2022-03-12,16,3,5,3,Organic Word of Mouth,Active,,45,0,1034.55
100033,20251025,2025-10-25,3,2,1,5,Organic Word of Mouth,Active,,2,0,9.98
100034,20200610,2020-06-10,3,2,4,3,Referral,Active,,66,0,1022.34
100035,20200229,2020-02-29,21,4,4,2,Organic Word of Mouth,Churned,20240527.0,51,0,789.99
100036,20200617,2020-06-17,2,1,5,4,Search & SEO,Active,,66,0,1517.34
100037,20241007,2024-10-07,19,4,4,1,Social Media Campaign,Churned,20250708.0,9,0,139.41
100038,20251110,2025-11-10,18,4,4,2,ISP / Telco Bundle,Active,,1,0,15.49
100039,20230729,2023-07-29,6,2,4,4,Search & SEO,Churned,20250426.0,21,0,325.29
100040,20240227,2024-02-27,20,4,3,2,Search & SEO,Active,,22,0,153.78
100041,20251224,2025-12-24,1,1,3,3,Search & SEO,Active,,1,0,6.99
100042,20240618,2024-06-18,1,1,3,2,Social Media Campaign,Active,,18,0,125.82
100043,20210308,2021-03-08,13,3,2,4,Search & SEO,Active,,57,0,569.43
100044,20240306,2024-03-06,19,4,4,4,Organic Word of Mouth,Active,,21,0,325.29
100045,20240304,2024-03-04,1,1,3,1,Smart TV Pre-install,Active,,21,0,146.79
100046,20240521,2024-05-21,1,1,2,2,Social Media Campaign,Churned,20241004.0,5,0,49.95
100047,20200306,2020-03-06,13,3,1,4,Organic Word of Mouth,Churned,20230901.0,42,0,209.58
100048,20210711,2021-07-11,1,1,5,1,Search & SEO,Active,,53,0,1218.47
100049,20200817,2020-08-17,13,3,1,1,Organic Word of Mouth,Active,,64,0,319.36
100050,20230416,2023-04-16,5,2,3,3,Organic Word of Mouth,Active,,32,0,223.68
100051,20231205,2023-12-05,13,3,4,1,Organic Word of Mouth,Active,,24,0,371.76
100052,20200307,2020-03-07,6,2,2,1,Referral,Churned,20220911.0,30,0,299.7
100053,20211025,2021-10-25,1,1,4,1,ISP / Telco Bundle,Active,,50,0,774.5
100054,20240307,2024-03-07,1,1,1,6,Organic Word of Mouth,Active,,21,0,104.79
100055,20210501,2021-05-01,7,2,4,1,Social Media Campaign,Churned,20220617.0,13,0,201.37
100056,20230401,2023-04-01,1,1,3,2,ISP / Telco Bundle,Active,,32,0,223.68
100057,20240525,2024-05-25,5,2,4,1,Smart TV Pre-install,Active,,19,0,294.31
100058,20251031,2025-10-31,1,1,3,2,Organic Word of Mouth,Churned,20251224.0,2,0,13.98
100059,20231231,2023-12-31,1,1,4,3,Search & SEO,Churned,20240530.0,5,0,77.45
100060,20200703,2020-07-03,1,1,1,2,Organic Word of Mouth,Active,,65,0,324.35
100061,20250103,2025-01-03,4,2,3,2,Social Media Campaign,Active,,11,0,76.89
100062,20210220,2021-02-20,19,4,1,1,Social Media Campaign,Active,,58,0,289.42
100063,20251029,2025-10-29,21,4,4,2,Search & SEO,Active,,2,0,30.98
100064,20210311,2021-03-11,5,2,4,1,Organic Word of Mouth,Churned,20230622.0,27,0,418.23
100065,20200320,2020-03-20,4,2,5,1,Social Media Campaign,Churned,20240919.0,54,0,1241.46
100066,20200710,2020-07-10,11,2,4,1,Search & SEO,Churned,20230623.0,35,0,542.15
100067,20240403,2024-04-03,2,1,3,2,Smart TV Pre-install,Active,,20,0,139.8
100068,20220101,2022-01-01,1,1,1,1,Search & SEO,Active,,47,0,234.53
100069,20251103,2025-11-03,1,1,3,4,Search & SEO,Active,,1,0,6.99
100070,20240531,2024-05-31,11,2,4,5,Social Media Campaign,Active,,19,0,294.31
100071,20220103,2022-01-03,16,3,2,2,Organic Word of Mouth,Active,,47,0,469.53
100072,20240625,2024-06-25,13,3,1,1,Search & SEO,Active,,18,0,89.82
100073,20210108,2021-01-08,13,3,4,1,ISP / Telco Bundle,Churned,20230323.0,26,0,402.74
100074,20210731,2021-07-31,4,2,1,1,Organic Word of Mouth,Active,,53,0,264.47
100075,20220415,2022-04-15,13,3,4,3,Smart TV Pre-install,Active,,44,0,681.56
100076,20240704,2024-07-04,1,1,3,1,Referral,Active,,17,0,118.83
100077,20210320,2021-03-20,13,3,2,1,Search & SEO,Active,,57,0,569.43
100078,20220429,2022-04-29,6,2,4,1,Search & SEO,Active,,44,0,681.56
100079,20200925,2020-09-25,14,3,4,2,Smart TV Pre-install,Active,,63,0,975.87
100080,20210806,2021-08-06,1,1,4,1,Organic Word of Mouth,Churned,20240127.0,29,0,449.21
100081,20210728,2021-07-28,15,3,4,1,Smart TV Pre-install,Churned,20211024.0,3,0,46.47
100082,20231218,2023-12-18,13,3,4,1,Organic Word of Mouth,Active,,24,0,371.76
100083,20231229,2023-12-29,13,3,3,2,Social Media Campaign,Churned,20240528.0,5,0,34.95
100084,20240904,2024-09-04,5,2,2,1,Organic Word of Mouth,Churned,20250412.0,7,0,69.93
100085,20250110,2025-01-10,22,4,3,3,ISP / Telco Bundle,Active,,11,0,76.89
100086,20240723,2024-07-23,1,1,4,3,Social Media Campaign,Active,,17,0,263.33
100087,20240617,2024-06-17,1,1,4,1,ISP / Telco Bundle,Active,,18,2,566.46
100088,20230810,2023-08-10,1,1,3,1,Social Media Campaign,Active,,28,0,195.72
100089,20220805,2022-08-05,1,1,5,5,Social Media Campaign,Active,,40,0,919.6
100090,20231005,2023-10-05,20,4,4,2,Organic Word of Mouth,Churned,20251104.0,25,0,387.25
100091,20220514,2022-05-14,1,1,2,3,Search & SEO,Active,,43,0,429.57
100092,20200205,2020-02-05,9,2,2,1,Social Media Campaign,Active,,70,0,699.3
100093,20230803,2023-08-03,11,2,4,4,Search & SEO,Active,,28,0,433.72
100094,20210921,2021-09-21,3,2,4,1,ISP / Telco Bundle,Churned,20220204.0,5,0,77.45
100095,20250419,2025-04-19,1,1,3,1,Referral,Active,,8,0,55.92
100096,20250221,2025-02-21,18,4,4,2,Organic Word of Mouth,Active,,10,0,154.9
100097,20220406,2022-04-06,3,2,4,2,Organic Word of Mouth,Churned,20250712.0,39,0,604.11
100098,20250404,2025-04-04,7,2,3,4,Smart TV Pre-install,Churned,20250617.0,2,0,13.98
100099,20240927,2024-09-27,13,3,4,3,Organic Word of Mouth,Active,,15,0,232.35
100100,20230909,2023-09-09,13,3,3,1,Organic Word of Mouth,Active,,27,0,188.73
100101,20240331,2024-03-31,13,3,4,3,Organic Word of Mouth,Churned,20251018.0,19,0,294.31
100102,20251031,2025-10-31,2,1,3,1,Search & SEO,Active,,2,0,13.98
100103,20251117,2025-11-17,3,2,3,1,Organic Word of Mouth,Churned,20251227.0,1,0,6.99
100104,20240911,2024-09-11,1,1,3,6,Organic Word of Mouth,Active,,15,0,104.85
100105,20230810,2023-08-10,22,4,4,1,Organic Word of Mouth,Active,,28,0,433.72
100106,20220118,2022-01-18,1,1,1,4,Organic Word of Mouth,Active,,47,0,234.53
100107,20200331,2020-03-31,1,1,2,1,Organic Word of Mouth,Churned,20210530.0,14,0,139.86
100108,20230914,2023-09-14,1,1,4,1,Organic Word of Mouth,Churned,20231102.0,2,0,30.98
100109,20221007,2022-10-07,21,4,4,1,Search & SEO,Churned,20231128.0,13,0,201.37
100110,20241120,2024-11-20,3,2,5,3,Organic Word of Mouth,Active,,13,0,298.87
100111,20210509,2021-05-09,14,3,1,1,Organic Word of Mouth,Churned,20240510.0,36,0,179.64
100112,20220625,2022-06-25,20,4,4,1,Organic Word of Mouth,Active,,42,0,650.58
100113,20240510,2024-05-10,13,3,5,1,Search & SEO,Active,,19,0,436.81
100114,20201225,2020-12-25,3,2,4,2,Organic Word of Mouth,Active,,60,0,929.4
100115,20251127,2025-11-27,20,4,4,3,Smart TV Pre-install,Active,,1,0,15.49
100116,20230808,2023-08-08,14,3,1,2,Organic Word of Mouth,Active,,28,0,139.72
100117,20251111,2025-11-11,1,1,3,2,Organic Word of Mouth,Active,,1,0,6.99
100118,20230306,2023-03-06,17,3,3,2,Organic Word of Mouth,Active,,33,0,230.67
100119,20230807,2023-08-07,14,3,3,1,Organic Word of Mouth,Active,,28,0,195.72
100120,20230409,2023-04-09,3,2,3,2,Social Media Campaign,Active,,32,0,223.68
100121,20220114,2022-01-14,1,1,4,1,Search & SEO,Active,,47,0,728.03
100122,20230111,2023-01-11,13,3,4,3,Organic Word of Mouth,Active,,35,0,542.15
100123,20210204,2021-02-04,18,4,1,1,Organic Word of Mouth,Churned,20240903.0,43,0,214.57
100124,20230513,2023-05-13,3,2,4,2,ISP / Telco Bundle,Active,,31,0,480.19
100125,20220609,2022-06-09,4,2,1,1,Social Media Campaign,Active,,42,0,209.58
100126,20201208,2020-12-08,3,2,5,1,Smart TV Pre-install,Churned,20241105.0,47,0,1080.53
100127,20211102,2021-11-02,1,1,4,1,Organic Word of Mouth,Active,,49,0,759.01
100128,20220902,2022-09-02,13,3,4,1,Social Media Campaign,Churned,20250601.0,33,0,511.17
100129,20241101,2024-11-01,3,2,3,2,Social Media Campaign,Active,,13,0,90.87
100130,20231110,2023-11-10,13,3,5,1,Organic Word of Mouth,Active,,25,1,774.5
100131,20210621,2021-06-21,3,2,4,1,Search & SEO,Active,,54,0,836.46
100132,20231229,2023-12-29,3,2,3,2,Social Media Campaign,Active,,24,0,167.76
100133,20210720,2021-07-20,1,1,1,2,Organic Word of Mouth,Churned,20220618.0,11,0,54.89
100134,20231018,2023-10-18,23,4,1,2,Organic Word of Mouth,Active,,26,0,129.74
100135,20230529,2023-05-29,1,1,3,1,Organic Word of Mouth,Churned,20241128.0,18,0,125.82
100136,20210702,2021-07-02,6,2,2,4,Social Media Campaign,Active,,53,0,529.47
100137,20220624,2022-06-24,7,2,4,2,Smart TV Pre-install,Churned,20240414.0,22,0,340.78
100138,20240729,2024-07-29,1,1,1,1,Search & SEO,Active,,17,0,84.83
100139,20211116,2021-11-16,19,4,1,2,Organic Word of Mouth,Churned,20250402.0,41,0,204.59
100140,20230308,2023-03-08,1,1,3,3,Social Media Campaign,Active,,33,0,230.67
100141,20240228,2024-02-28,10,2,5,1,ISP / Telco Bundle,Churned,20250325.0,13,0,298.87
100142,20210101,2021-01-01,1,1,4,2,Social Media Campaign,Churned,20211102.0,10,0,154.9
100143,20220430,2022-04-30,13,3,5,2,Organic Word of Mouth,Active,,44,0,1011.56
100144,20240805,2024-08-05,19,4,1,2,Smart TV Pre-install,Active,,16,0,79.84
100145,20250702,2025-07-02,13,3,4,3,Organic Word of Mouth,Active,,5,0,77.45
100146,20211204,2021-12-04,1,1,5,2,Search & SEO,Churned,20220514.0,5,0,114.95
100147,20250719,2025-07-19,20,4,5,1,Organic Word of Mouth,Active,,5,0,114.95
100148,20220812,2022-08-12,8,2,4,1,Social Media Campaign,Churned,20250428.0,32,0,495.68
100149,20250601,2025-06-01,3,2,3,1,Social Media Campaign,Active,,6,0,41.94
100150,20241213,2024-12-13,18,4,1,1,Organic Word of Mouth,Active,,12,0,59.88
100151,20200203,2020-02-03,1,1,5,5,Organic Word of Mouth,Churned,20220624.0,28,0,643.72
100152,20220619,2022-06-19,14,3,4,2,Organic Word of Mouth,Active,,42,0,650.58
100153,20231006,2023-10-06,1,1,1,3,Organic Word of Mouth,Active,,26,0,129.74
100154,20211225,2021-12-25,19,4,5,2,Smart TV Pre-install,Active,,48,0,1103.52
100155,20250525,2025-05-25,1,1,5,1,Organic Word of Mouth,Active,,7,1,216.86
100156,20251024,2025-10-24,8,2,2,1,ISP / Telco Bundle,Active,,2,0,19.98
100157,20211127,2021-11-27,20,4,4,6,Social Media Campaign,Active,,49,0,759.01
100158,20200223,2020-02-23,24,4,2,2,Organic Word of Mouth,Active,,70,0,699.3
100159,20240210,2024-02-10,1,1,4,1,Smart TV Pre-install,Active,,22,1,516.56
100160,20210617,2021-06-17,20,4,5,1,Social Media Campaign,Active,,54,0,1241.46
100161,20251008,2025-10-08,5,2,5,2,Social Media Campaign,Active,,2,1,61.96
100162,20230115,2023-01-15,21,4,4,4,Smart TV Pre-install,Churned,20250721.0,30,0,464.7
100163,20230511,2023-05-11,6,2,4,1,Social Media Campaign,Active,,31,0,480.19
100164,20240918,2024-09-18,1,1,4,1,Organic Word of Mouth,Active,,15,0,232.35
