cohort_signup_month,tenure_month,evaluation_month,initial_cohort_size,retained_subscribers_count,retention_rate_pct
2021-01,0,2021-01,2931653,2931653,100.0
2021-01,1,2021-02,2931653,2780672,94.85
2021-01,2,2021-03,2931653,2702397,92.18
2021-01,3,2021-04,2931653,2620604,89.39
2021-01,4,2021-05,2931653,2554056,87.12
2021-01,5,2021-06,2931653,2492784,85.03
2021-01,6,2021-07,2931653,2429460,82.87
2021-01,7,2021-08,2931653,2372879,80.94
2021-01,8,2021-09,2931653,2302813,78.55
2021-01,9,2021-10,2931653,2259131,77.06
2021-01,10,2021-11,2931653,2178804,74.32
2021-01,11,2021-12,2931653,2153592,73.46
2021-01,12,2022-01,2931653,2068867,70.57
2021-01,13,2022-02,2931653,2004371,68.37
2021-01,14,2022-03,2931653,1980624,67.56
2021-01,15,2022-04,2931653,1929907,65.83
2021-01,16,2022-05,2931653,1880362,64.14
2021-01,17,2022-06,2931653,1835507,62.61
2021-01,18,2022-07,2931653,1767200,60.28
2021-01,19,2022-08,2931653,1725864,58.87
2021-01,20,2022-09,2931653,1692443,57.73
2021-01,21,2022-10,2931653,1648175,56.22
2021-01,22,2022-11,2931653,1602734,54.67
2021-01,23,2022-12,2931653,1576642,53.78
2021-01,24,2023-01,2931653,1524166,51.99
2021-02,0,2021-02,3253633,3253633,100.0
2021-02,1,2021-03,3253633,3068501,94.31
2021-02,2,2021-04,3253633,2990739,91.92
2021-02,3,2021-05,3253633,2927944,89.99
2021-02,4,2021-06,3253633,2828708,86.94
2021-02,5,2021-07,3253633,2790315,85.76
2021-02,6,2021-08,3253633,2692706,82.76
2021-02,7,2021-09,3253633,2623078,80.62
2021-02,8,2021-10,3253633,2593145,79.7
2021-02,9,2021-11,3253633,2478942,76.19
2021-02,10,2021-12,3253633,2423631,74.49
2021-02,11,2022-01,3253633,2364089,72.66
2021-02,12,2022-02,3253633,2303246,70.79
2021-02,13,2022-03,3253633,2223532,68.34
2021-02,14,2022-04,3253633,2188068,67.25
2021-02,15,2022-05,3253633,2115512,65.02
2021-02,16,2022-06,3253633,2054343,63.14
2021-02,17,2022-07,3253633,1995778,61.34
2021-02,18,2022-08,3253633,1988620,61.12
2021-02,19,2022-09,3253633,1926476,59.21
2021-02,20,2022-10,3253633,1872465,57.55
2021-02,21,2022-11,3253633,1825938,56.12
2021-02,22,2022-12,3253633,1780387,54.72
2021-02,23,2023-01,3253633,1737440,53.4
2021-02,24,2023-02,3253633,1705879,52.43
2021-03,0,2021-03,3461641,3461641,100.0
2021-03,1,2021-04,3461641,3271596,94.51
2021-03,2,2021-05,3461641,3181248,91.9
2021-03,3,2021-06,3461641,3117207,90.05
2021-03,4,2021-07,3461641,3006781,86.86
2021-03,5,2021-08,3461641,2956587,85.41
2021-03,6,2021-09,3461641,2879739,83.19
2021-03,7,2021-10,3461641,2800813,80.91
2021-03,8,2021-11,3461641,2703195,78.09
2021-03,9,2021-12,3461641,2657501,76.77
2021-03,10,2022-01,3461641,2579961,74.53
2021-03,11,2022-02,3461641,2513843,72.62
2021-03,12,2022-03,3461641,2430418,70.21
2021-03,13,2022-04,3461641,2381955,68.81
2021-03,14,2022-05,3461641,2325530,67.18
2021-03,15,2022-06,3461641,2269451,65.56
2021-03,16,2022-07,3461641,2206449,63.74
2021-03,17,2022-08,3461641,2153833,62.22
2021-03,18,2022-09,3461641,2095677,60.54
2021-03,19,2022-10,3461641,2040291,58.94
2021-03,20,2022-11,3461641,1997020,57.69
2021-03,21,2022-12,3461641,1952019,56.39
2021-03,22,2023-01,3461641,1887979,54.54
2021-03,23,2023-02,3461641,1825669,52.74
2021-03,24,2023-03,3461641,1791053,51.74
2021-04,0,2021-04,3589636,3589636,100.0
2021-04,1,2021-05,3589636,3405846,94.88
2021-04,2,2021-06,3589636,3282004,91.43
2021-04,3,2021-07,3589636,3227800,89.92
2021-04,4,2021-08,3589636,3134470,87.32
2021-04,5,2021-09,3589636,3048318,84.92
2021-04,6,2021-10,3589636,2965039,82.6
2021-04,7,2021-11,3589636,2905451,80.94
2021-04,8,2021-12,3589636,2806018,78.17
