performance_date_key,year_month,content_id,monthly_hours_viewed_m,monthly_views_m,completion_rate_pct,repeat_view_share_pct,monthly_amortization_usd_m,content_roi_multiplier
20210401,2021-04,1,185.99,25.83,88.7,14.3,0.59,1.56
20210501,2021-05,1,100.17,13.91,81.0,13.0,0.59,2.41
20210601,2021-06,1,34.38,4.78,78.0,14.2,0.59,2.7
20210701,2021-07,1,36.98,5.14,78.0,14.3,0.59,3.01
20210801,2021-08,1,25.88,3.59,78.0,23.6,0.59,3.22
20210901,2021-09,1,22.35,3.1,78.0,20.3,0.59,3.41
20211001,2021-10,1,17.87,2.48,78.0,15.6,0.59,3.56
20211101,2021-11,1,10.39,1.44,72.0,15.9,0.59,3.65
20211201,2021-12,1,9.92,1.38,72.0,18.5,0.59,3.73
20220101,2022-01,1,10.51,1.46,72.0,23.6,0.59,3.82
20220201,2022-02,1,9.33,1.3,72.0,21.6,0.59,3.9
20220301,2022-03,1,8.77,1.22,72.0,19.6,0.59,3.97
20220401,2022-04,1,8.53,1.18,72.0,14.8,0.59,4.05
20220501,2022-05,1,9.38,1.3,72.0,9.7,0.59,4.13
20220601,2022-06,1,8.58,1.19,72.0,18.4,0.59,4.2
20220701,2022-07,1,9.9,1.38,72.0,15.7,0.59,4.28
20220801,2022-08,1,10.01,1.39,72.0,20.9,0.59,4.36
20220901,2022-09,1,10.0,1.39,72.0,19.0,0.59,4.45
20221001,2022-10,1,8.32,1.16,72.0,18.3,0.59,4.52
20221101,2022-11,1,8.65,1.2,72.0,11.1,0.59,4.59
20221201,2022-12,1,10.22,1.42,72.0,18.0,0.59,4.68
20230101,2023-01,1,8.28,1.15,72.0,14.5,0.59,4.75
20230201,2023-02,1,9.22,1.28,72.0,11.6,0.59,4.82
20230301,2023-03,1,8.93,1.24,72.0,23.1,0.59,4.9
20230401,2023-04,1,8.18,1.14,72.0,10.9,0.59,4.97
20230501,2023-05,1,7.93,1.1,72.0,12.4,0.59,5.04
20230601,2023-06,1,9.88,1.37,72.0,22.6,0.59,5.12
