date_key,full_date,total_stream_hours_m,peak_concurrent_streams_m,uhd_4k_share_pct,hdr_share_pct,rebuffer_ratio_pct,avg_bitrate_mbps,non_english_stream_share_pct
20210101,2021-01-01,598.07,73.64,17.84,12.84,0.291,11.46,32.0
20210102,2021-01-02,694.81,89.81,17.99,12.95,0.266,11.74,32.0
20210103,2021-01-03,687.63,87.91,18.52,13.33,0.313,11.69,32.0
20210104,2021-01-04,506.54,64.57,18.53,13.34,0.288,11.62,32.0
20210105,2021-01-05,520.74,63.76,17.82,12.83,0.286,11.3,32.0
20210106,2021-01-06,437.99,55.2,18.37,13.23,0.27,11.43,32.0
20210107,2021-01-07,422.35,55.28,17.91,12.9,0.269,11.61,32.0
20210108,2021-01-08,489.39,60.17,17.86,12.86,0.315,11.45,32.0
20210109,2021-01-09,567.05,72.25,17.78,12.8,0.277,11.83,32.0
20210110,2021-01-10,578.63,70.07,18.55,13.36,0.272,11.61,32.0
20210111,2021-01-11,419.22,53.63,17.79,12.81,0.254,11.9,32.0
20210112,2021-01-12,421.55,50.6,18.12,13.05,0.271,11.33,32.0
20210113,2021-01-13,407.64,52.72,17.47,12.58,0.298,11.68,32.0
20210114,2021-01-14,430.41,52.25,19.1,13.75,0.279,11.53,32.0
20210115,2021-01-15,461.88,60.07,17.32,12.47,0.284,11.17,32.0
20210116,2021-01-16,560.74,69.94,18.09,13.02,0.268,11.25,32.0
20210117,2021-01-17,556.11,66.3,17.43,12.55,0.281,11.01,32.0
20210118,2021-01-18,415.13,52.32,18.99,13.67,0.319,11.35,32.0
20210119,2021-01-19,406.74,52.75,18.38,13.23,0.292,11.58,32.0
20210120,2021-01-20,421.33,53.2,19.07,13.73,0.27,11.26,32.0
20210121,2021-01-21,433.4,56.06,17.79,12.81,0.297,11.44,32.0
20210122,2021-01-22,461.64,56.0,17.32,12.47,0.286,11.37,32.0
20210123,2021-01-23,567.09,69.14,17.69,12.74,0.284,11.71,32.0
20210124,2021-01-24,562.12,68.04,18.35,13.21,0.273,11.34,32.0
20210125,2021-01-25,418.24,51.26,16.72,12.04,0.239,11.53,32.0
20210126,2021-01-26,427.32,52.18,18.01,12.97,0.245,11.6,32.0
20210127,2021-01-27,410.39,51.68,18.66,13.44,0.301,11.14,32.0
20210128,2021-01-28,410.54,51.06,18.11,13.04,0.294,11.38,32.0
20210129,2021-01-29,475.86,59.64,18.12,13.05,0.295,11.85,32.0
20210130,2021-01-30,559.92,70.77,19.24,13.85,0.293,11.55,32.0
20210131,2021-01-31,565.06,67.7,17.81,12.82,0.279,11.55,32.0
20210201,2021-02-01,418.53,51.26,17.89,12.88,0.32,11.34,32.0
20210202,2021-02-02,428.84,55.6,18.53,13.34,0.265,11.83,32.0
20210203,2021-02-03,431.16,51.27,17.27,12.43,0.257,11.28,32.0
20210204,2021-02-04,438.93,52.47,18.74,13.49,0.279,11.89,32.0
20210205,2021-02-05,475.62,62.09,17.78,12.8,0.279,11.27,32.0
20210206,2021-02-06,563.38,67.63,18.54,13.35,0.312,11.33,32.0
20210207,2021-02-07,548.28,68.67,18.31,13.18,0.29,11.42,32.0
20210208,2021-02-08,431.46,51.86,18.14,13.06,0.291,11.81,32.0
20210209,2021-02-09,425.63,55.14,17.83,12.84,0.299,11.5,32.0
20210210,2021-02-10,413.25,53.76,18.59,13.38,0.315,11.19,32.0
20210211,2021-02-11,425.78,51.53,17.45,12.56,0.277,11.49,32.0
20210212,2021-02-12,478.18,61.9,18.27,13.15,0.269,11.73,32.0
20210213,2021-02-13,560.62,69.24,19.17,13.8,0.303,11.77,32.0
20210214,2021-02-14,564.1,69.68,17.98,12.95,0.301,11.57,32.0
20210215,2021-02-15,427.17,52.75,17.51,12.61,0.268,11.52,32.0
20210216,2021-02-16,416.44,50.38,18.12,13.05,0.272,11.47,32.0
20210217,2021-02-17,430.63,53.99,18.49,13.31,0.292,11.55,32.0
20210218,2021-02-18,413.56,49.92,18.59,13.38,0.301,11.48,32.0
20210219,2021-02-19,482.79,60.17,18.84,13.56,0.274,11.51,32.0
20210220,2021-02-20,550.17,68.39,17.83,12.84,0.28,11.55,32.0
20210221,2021-02-21,559.73,71.45,18.81,13.54,0.274,11.47,32.0
20210222,2021-02-22,414.38,50.21,18.22,13.12,0.283,11.4,32.0
20210223,2021-02-23,439.3,57.38,18.63,13.41,0.263,11.49,32.0
20210224,2021-02-24,433.14,53.24,17.8,12.82,0.303,11.6,32.0
20210225,2021-02-25,437.29,54.67,17.87,12.87,0.267,11.36,32.0
20210226,2021-02-26,473.2,57.11,18.52,13.33,0.294,11.28,32.0
20210227,2021-02-27,538.51,67.25,17.7,12.74,0.298,11.73,32.0
20210228,2021-02-28,536.29,69.15,18.0,12.96,0.267,11.59,32.0
20210301,2021-03-01,421.72,50.85,17.48,12.59,0.264,11.8,32.0
20210302,2021-03-02,423.83,50.55,17.14,12.34,0.307,11.87,32.0
20210303,2021-03-03,436.98,56.11,17.87,12.87,0.273,11.57,32.0
20210304,2021-03-04,428.39,55.91,17.43,12.55,0.287,11.6,32.0
20210305,2021-03-05,464.05,57.24,18.5,13.32,0.305,11.72,32.0
20210306,2021-03-06,553.39,67.4,17.54,12.63,0.268,11.43,32.0
20210307,2021-03-07,550.14,70.33,17.51,12.61,0.285,11.59,32.0
20210308,2021-03-08,427.74,52.09,18.01,12.97,0.287,11.39,32.0
20210309,2021-03-09,422.39,52.06,18.03,12.98,0.267,11.34,32.0
20210310,2021-03-10,408.36,52.07,18.07,13.01,0.278,11.72,32.0
20210311,2021-03-11,429.5,52.67,18.69,13.46,0.267,11.58,32.0
20210312,2021-03-12,476.74,59.04,20.0,14.4,0.296,11.64,32.0
20210313,2021-03-13,546.96,70.9,18.23,13.13,0.265,11.37,32.0
20210314,2021-03-14,540.53,70.39,17.67,12.72,0.26,11.37,32.0
20210315,2021-03-15,437.0,54.2,17.66,12.72,0.271,11.66,32.0
20210316,2021-03-16,429.31,54.88,17.63,12.69,0.294,11.52,32.0
20210317,2021-03-17,430.41,51.18,17.18,12.37,0.269,11.34,32.0
20210318,2021-03-18,428.98,51.28,17.26,12.43,0.256,11.91,32.0
20210319,2021-03-19,464.57,57.43,18.53,13.34,0.251,11.98,32.0
20210320,2021-03-20,545.25,68.11,17.25,12.42,0.272,11.49,32.0
20210321,2021-03-21,545.54,68.0,18.15,13.07,0.268,11.42,32.0
20210322,2021-03-22,439.37,54.08,18.63,13.41,0.272,11.79,32.0
20210323,2021-03-23,438.85,53.94,17.94,12.92,0.277,11.12,32.0
20210324,2021-03-24,432.45,55.84,18.41,13.26,0.28,11.42,32.0
20210325,2021-03-25,439.83,52.47,17.83,12.84,0.287,11.55,32.0
20210326,2021-03-26,485.12,57.67,18.05,13.0,0.295,11.62,32.0
20210327,2021-03-27,562.14,70.05,17.14,12.34,0.302,11.55,32.0
20210328,2021-03-28,547.25,66.38,18.09,13.02,0.243,11.59,32.0
20210329,2021-03-29,438.02,57.48,17.79,12.81,0.263,11.31,32.0
20210330,2021-03-30,440.76,56.84,17.87,12.87,0.301,11.39,32.0
20210331,2021-03-31,428.29,54.8,17.98,12.95,0.258,11.44,32.0
20210401,2021-04-01,431.97,55.29,17.97,12.94,0.297,11.59,32.0
20210402,2021-04-02,464.19,56.59,18.12,13.05,0.266,11.68,32.0
20210403,2021-04-03,578.75,69.9,17.17,12.36,0.287,11.49,32.0
20210404,2021-04-04,550.94,70.4,17.96,12.93,0.301,11.26,32.0
20210405,2021-04-05,414.26,51.78,17.37,12.51,0.283,11.12,32.0
20210406,2021-04-06,431.15,53.89,18.66,13.44,0.27,11.26,32.0
20210407,2021-04-07,425.9,52.41,17.6,12.67,0.309,11.38,32.0
20210408,2021-04-08,424.64,55.11,18.13,13.05,0.284,11.52,32.0
20210409,2021-04-09,478.57,58.6,18.47,13.3,0.316,10.99,32.0
20210410,2021-04-10,573.8,73.83,17.92,12.9,0.268,11.68,32.0
20210411,2021-04-11,540.23,68.32,18.01,12.97,0.312,11.75,32.0
20210412,2021-04-12,430.15,55.79,17.85,12.85,0.304,11.59,32.0
20210413,2021-04-13,417.93,50.67,17.26,12.43,0.253,11.49,32.0
20210414,2021-04-14,428.44,51.01,18.47,13.3,0.342,11.31,32.0
20210415,2021-04-15,421.13,54.77,18.01,12.97,0.275,11.57,32.0
20210416,2021-04-16,481.82,63.14,17.56,12.64,0.281,11.27,32.0
