financial_date_key,year_month,subscription_revenue_m_usd,advertising_revenue_m_usd,total_revenue_m_usd,content_amortization_m_usd,technology_development_m_usd,marketing_expense_m_usd,general_admin_expense_m_usd,total_operating_expenses_m_usd,operating_income_m_usd,operating_margin_pct,free_cash_flow_m_usd
20210101,2021-01,2382.72,0.0,2382.72,1239.01,202.53,185.85,107.22,1734.61,648.11,27.2,99.12
20210201,2021-02,2411.32,0.0,2411.32,1253.89,204.96,188.08,108.51,1755.44,655.88,27.2,93.07
20210301,2021-03,2440.25,0.0,2440.25,1268.93,207.42,190.34,109.81,1776.5,663.75,27.2,98.4
20210401,2021-04,2459.78,0.0,2459.78,1279.09,209.08,191.86,110.69,1790.72,669.06,27.2,103.29
20210501,2021-05,2479.46,0.0,2479.46,1289.32,210.75,193.4,111.58,1805.05,674.41,27.2,101.1
20210601,2021-06,2509.21,0.0,2509.21,1304.79,213.28,195.72,112.91,1826.7,682.51,27.2,99.33
20210701,2021-07,2539.32,0.0,2539.32,1320.45,215.84,198.07,114.27,1848.63,690.69,27.2,96.49
20210801,2021-08,2569.78,0.0,2569.78,1336.29,218.43,200.44,115.64,1870.8,698.98,27.2,100.49
20210901,2021-09,2600.63,0.0,2600.63,1352.33,221.05,202.85,117.03,1893.26,707.37,27.2,100.5
20211001,2021-10,2631.82,0.0,2631.82,1368.55,223.7,250.02,118.43,1960.7,671.12,25.5,106.75
20211101,2021-11,2679.2,0.0,2679.2,1393.18,227.73,254.52,120.56,1995.99,683.21,25.5,109.83
20211201,2021-12,2727.44,0.0,2727.44,1418.27,231.83,259.11,122.73,2031.94,695.5,25.5,180.09
20220101,2022-01,2861.34,0.0,2861.34,1419.22,243.21,223.18,128.76,2014.37,846.97,29.6,227.58
20220201,2022-02,2858.89,0.0,2858.89,1418.01,243.01,222.99,128.65,2012.66,846.23,29.6,245.08
20220301,2022-03,2856.44,0.0,2856.44,1416.79,242.8,222.8,128.54,2010.93,845.51,29.6,249.36
20220401,2022-04,2842.59,0.0,2842.59,1409.92,241.62,221.72,127.92,2001.18,841.41,29.6,230.85
20220501,2022-05,2828.82,0.0,2828.82,1403.09,240.45,220.65,127.3,1991.49,837.33,29.6,222.11
20220601,2022-06,2826.44,0.0,2826.44,1401.91,240.25,220.46,127.19,1989.81,836.63,29.6,225.87
20220701,2022-07,2860.36,0.0,2860.36,1418.74,243.13,223.11,128.72,2013.7,846.66,29.6,252.6
