snapshot_date_key,year_month,region_id,paid_memberships_start_m,gross_additions_m,churned_memberships_m,net_additions_m,paid_memberships_end_m,monthly_churn_rate_pct,avg_revenue_per_membership_usd,ad_supported_memberships_m,standard_memberships_m,premium_memberships_m,subscription_revenue_m_usd,advertising_revenue_m_usd,total_streaming_revenue_m_usd
20210101,2021-01,1,73.9,2.315,1.428,0.887,74.787,1.93,14.5,0.0,41.133,26.175,1084.41,0.0,1084.41
20210201,2021-02,1,74.787,2.57,1.673,0.897,75.684,2.24,14.5,0.0,41.626,26.489,1097.42,0.0,1097.42
20210301,2021-03,1,75.684,2.55,1.642,0.908,76.592,2.17,14.5,0.0,42.126,26.807,1110.59,0.0,1110.59
20210401,2021-04,1,76.592,2.035,1.422,0.613,77.205,1.86,14.5,0.0,42.463,27.022,1119.48,0.0,1119.48
20210501,2021-05,1,77.205,2.202,1.584,0.618,77.823,2.05,14.5,0.0,42.803,27.238,1128.43,0.0,1128.43
20210601,2021-06,1,77.823,2.445,1.511,0.934,78.757,1.94,14.5,0.0,43.316,27.565,1141.97,0.0,1141.97
20210701,2021-07,1,78.757,2.51,1.565,0.945,79.702,1.99,14.5,0.0,43.836,27.896,1155.68,0.0,1155.68
20210801,2021-08,1,79.702,2.677,1.721,0.956,80.658,2.16,14.5,0.0,44.362,28.23,1169.54,0.0,1169.54
20210901,2021-09,1,80.658,2.699,1.731,0.968,81.626,2.15,14.5,0.0,44.894,28.569,1183.58,0.0,1183.58
20211001,2021-10,1,81.626,2.659,1.68,0.98,82.606,2.06,14.5,0.0,45.433,28.912,1197.78,0.0,1197.78
20211101,2021-11,1,82.606,2.974,1.487,1.487,84.093,1.8,14.5,0.0,46.251,29.432,1219.34,0.0,1219.34
20211201,2021-12,1,84.093,3.084,1.57,1.514,85.606,1.87,14.5,0.0,47.083,29.962,1241.29,0.0,1241.29
20220101,2022-01,1,85.606,1.57,1.741,-0.171,85.435,2.03,15.23,0.0,46.989,29.902,1300.75,0.0,1300.75
20220201,2022-02,1,85.435,1.708,1.879,-0.171,85.264,2.2,15.23,0.0,46.895,29.842,1298.15,0.0,1298.15
20220301,2022-03,1,85.264,1.542,1.713,-0.171,85.094,2.01,15.23,0.0,46.801,29.783,1295.55,0.0,1295.55
20220401,2022-04,1,85.094,1.408,1.918,-0.511,84.583,2.25,15.23,0.0,46.521,29.604,1287.78,0.0,1287.78
20220501,2022-05,1,84.583,1.375,1.882,-0.507,84.076,2.23,15.23,0.0,46.242,29.426,1280.05,0.0,1280.05
20220601,2022-06,1,84.076,1.421,1.589,-0.168,83.907,1.89,15.23,0.0,46.149,29.368,1277.49,0.0,1277.49
20220701,2022-07,1,83.907,2.76,1.753,1.007,84.914,2.09,15.23,0.0,46.703,29.72,1292.82,0.0,1292.82
20220801,2022-08,1,84.914,2.793,1.774,1.019,85.933,2.09,15.23,0.0,47.263,30.077,1308.33,0.0,1308.33
20220901,2022-09,1,85.933,2.936,1.904,1.031,86.964,2.22,15.23,0.0,47.83,30.438,1324.03,0.0,1324.03
20221001,2022-10,1,86.964,2.857,1.813,1.044,88.008,2.09,15.23,0.0,48.404,30.803,1339.92,0.0,1339.92
20221101,2022-11,1,88.008,3.468,1.883,1.584,89.592,2.14,15.23,4.569,46.763,29.758,1364.04,34.27,1398.31
20221201,2022-12,1,89.592,3.803,2.191,1.613,91.205,2.45,15.23,5.655,47.053,29.943,1388.59,42.41,1431.0
20230101,2023-01,1,91.205,3.292,2.197,1.094,92.299,2.41,15.23,6.738,47.059,29.946,1405.26,50.53,1455.79
20230201,2023-02,1,92.299,2.766,1.659,1.108,93.407,1.8,15.23,7.846,47.058,29.946,1422.12,58.85,1480.97
20230301,2023-03,1,93.407,2.687,1.566,1.121,94.528,1.68,15.23,8.98,47.051,29.942,1439.18,67.35,1506.54
20230401,2023-04,1,94.528,2.886,2.13,0.756,95.284,2.25,15.23,10.1,46.851,29.814,1450.7,75.75,1526.45
20230501,2023-05,1,95.284,4.218,2.312,1.906,97.19,2.43,15.23,11.371,47.2,30.036,1479.71,85.28,1565.0
20230601,2023-06,1,97.19,4.237,1.905,2.333,99.522,1.96,15.23,12.739,47.731,30.374,1515.23,95.54,1610.77
20230701,2023-07,1,99.522,4.151,1.762,2.389,101.911,1.77,15.23,14.166,48.26,30.711,1551.59,106.24,1657.83
20230801,2023-08,1,101.911,4.938,2.492,2.446,104.357,2.45,15.23,15.653,48.787,31.046,1588.83,117.4,1706.23
20230901,2023-09,1,104.357,4.791,2.286,2.505,106.861,2.19,15.23,17.205,49.311,31.38,1626.96,129.03,1756.0
20231001,2023-10,1,106.861,4.556,1.991,2.565,109.426,1.86,16.14,18.821,49.833,31.712,1765.97,141.16,1907.13
20231101,2023-11,1,109.426,5.783,2.5,3.283,112.709,2.28,16.14,20.626,50.646,32.229,1818.95,154.69,1973.64
20231201,2023-12,1,112.709,5.783,2.402,3.381,116.09,2.13,16.14,22.521,51.463,32.749,1873.52,168.91,2042.43
20240101,2024-01,1,116.09,3.654,2.377,1.277,117.367,2.05,16.14,24.06,51.319,32.657,1894.12,180.45,2074.58
20240201,2024-02,1,117.367,3.775,2.484,1.291,118.658,2.12,16.14,25.63,51.165,32.56,1914.96,192.23,2107.19
20240301,2024-03,1,118.658,3.874,2.569,1.305,119.963,2.16,16.14,27.232,51.002,32.456,1936.02,204.24,2140.26
20240401,2024-04,1,119.963,3.866,3.026,0.84,120.803,2.52,16.14,28.751,50.628,32.218,1949.58,215.63,2165.21
20240501,2024-05,1,120.803,3.329,2.483,0.846,121.648,2.06,16.14,30.29,50.247,31.975,1963.22,227.18,2190.4
20240601,2024-06,1,121.648,4.023,2.685,1.338,122.987,2.21,16.14,31.977,50.056,31.854,1984.82,239.82,2224.64
20240701,2024-07,1,122.987,4.105,2.752,1.353,124.339,2.24,16.14,33.696,49.854,31.725,2006.65,252.72,2259.37
